mes,nro_cliente,Plan_mes
1,1,95729
1,3,96410
1,2,96400
1,5,95729
1,4,95420
1,6,96409
1,8,94497
1,7,95982
1,9,96262
1,10,93720
1,11,94465
1,12,96308
1,13,96385
1,14,95744
1,15,96385
1,16,93618
1,18,96262
1,17,95982
1,20,96133
1,19,96234
1,21,96133
1,22,95982
1,25,95712
1,23,95419
1,24,96054
1,26,96018
1,27,95599
1,30,94516
1,31,96262
1,29,96038
1,32,96385
1,28,94410
1,36,96018
1,34,93720
1,33,94569
1,35,95729
1,38,94366
1,37,96409
1,39,94485
1,40,94366
1,41,94515
1,43,96400
1,42,96262
1,44,95599
1,45,96308
1,46,95419
1,47,96409
1,49,96409
1,50,96327
1,52,96078
1,51,94463
1,48,96121
1,53,96121
1,54,95456
1,55,93537
1,56,93631
1,58,95570
1,57,96293
1,59,95645
1,61,95400
1,62,96413
1,60,96124
1,63,95559
1,64,96440
1,65,93618
1,66,96208
1,69,96133
1,67,96133
1,68,95729
1,70,95456
1,71,95419
1,73,93521
1,75,94497
1,72,95599
1,74,93618
1,77,96332
1,76,95982
1,78,96188
1,79,95712
1,81,96385
1,82,96385
1,83,96208
1,84,95645
1,80,94485
1,85,94497
1,86,96409
1,87,96262
1,91,94458
1,88,95729
1,90,96413
1,92,96208
1,89,95729
1,93,93845
1,94,96400
1,96,96385
1,95,95400
1,97,96121
1,99,95599
1,100,96413
1,101,96119
1,98,96413
1,103,95982
1,104,95595
1,102,95683
1,105,96133
1,106,93720
1,108,93561
1,107,96133
1,110,95982
1,111,96208
1,109,95982
1,114,96327
1,113,95420
1,115,96385
1,112,96409
1,117,95733
1,116,96038
1,118,95456
1,120,95660
1,119,96413
1,122,96018
1,121,95599
1,123,96327
1,124,96385
1,127,96078
1,125,96018
1,126,95595
1,131,96133
1,128,96411
1,129,94485
1,130,96262
1,132,96400
1,133,94402
1,134,96234
1,135,94465
1,136,96262
1,137,96385
1,139,96409
1,138,96038
1,140,95599
1,141,96262
1,143,96133
1,145,96133
1,142,96409
1,144,95670
1,146,96400
1,149,96188
1,150,93618
1,151,96385
1,148,96018
1,147,95729
1,152,95982
1,153,95471
1,159,96234
1,155,96409
1,154,96327
1,160,96208
1,161,96400
1,157,96385
1,163,96133
1,158,94463
1,156,95982
1,162,93618
1,165,96007
1,164,96208
1,166,93618
1,168,96018
1,169,93561
1,167,96409
1,172,94468
1,171,93561
1,170,96007
1,176,95729
1,173,96133
1,174,95982
1,175,95595
1,177,96327
1,178,96332
1,179,96327
1,180,96018
1,182,95599
1,183,96262
1,185,96018
1,184,93561
1,181,96119
1,190,95744
1,189,96133
1,188,95645
1,186,94463
1,187,93561
1,192,96308
1,194,96022
1,191,96038
1,193,96119
1,195,96133
1,196,96234
1,197,96385
1,200,96133
1,199,96022
1,198,96400
1,201,96121
1,206,96410
1,202,96400
1,205,95982
1,203,96262
1,207,95982
1,208,95982
1,204,95729
1,209,96054
1,210,96038
1,211,96409
1,212,96133
1,214,95982
1,213,96119
1,215,95400
1,218,96007
1,219,96018
1,216,96400
1,217,93561
1,221,93537
1,220,93631
1,222,96234
1,223,93618
1,224,93618
1,225,96409
1,227,95712
1,229,96262
1,228,95645
1,226,96208
1,230,96385
1,231,95570
1,234,96133
1,233,93561
1,232,93618
1,236,93618
1,238,93537
1,235,95982
1,237,96262
1,239,96234
1,241,96078
1,240,95982
1,243,96133
1,242,95982
1,245,96409
1,244,95729
1,247,93561
1,250,96262
1,248,95645
1,249,94463
1,251,96007
1,246,96400
1,255,96332
1,252,95408
1,253,96400
1,254,96262
1,256,96133
1,258,96332
1,259,95729
1,257,96411
1,261,94497
1,260,93521
1,265,96208
1,264,96208
1,267,95599
1,268,96385
1,263,95712
1,262,95729
1,266,95982
1,272,96208
1,270,96327
1,271,96308
1,269,95729
1,273,96234
1,274,95982
1,275,96440
1,276,93845
1,277,96133
1,278,95729
1,280,95712
1,279,96262
1,281,96420
1,282,94463
1,283,96385
1,284,96133
1,285,95712
1,286,96133
1,288,93618
1,289,96409
1,287,95599
1,290,95729
1,291,96119
1,293,95599
1,292,94419
1,294,96262
1,299,95784
1,296,96410
1,301,93537
1,302,96409
1,298,96133
1,300,93561
1,295,96022
1,297,96327
1,304,96327
1,303,96420
1,307,96133
1,306,96007
1,309,96262
1,308,93561
1,305,96054
1,310,93720
1,312,95982
1,311,93561
1,313,96119
1,314,93845
1,315,95599
1,318,96022
1,317,96327
1,320,95982
1,316,95408
1,319,93561
1,321,96119
1,326,96121
1,323,95645
1,325,93561
1,322,96121
1,324,96119
1,327,95595
1,328,96119
1,330,96234
1,329,96078
1,336,95570
1,334,96400
1,335,95982
1,332,95729
1,331,96262
1,333,96411
1,339,95595
1,338,96018
1,337,95645
1,340,96133
1,341,96133
1,342,95712
1,344,94463
1,343,96409
1,345,95645
1,347,95982
1,350,95570
1,351,96409
1,349,93521
1,352,96208
1,353,94485
1,348,95982
1,346,94497
1,356,96078
1,358,94497
1,359,96385
1,357,95595
1,355,96409
1,354,93521
1,360,96038
1,361,96133
1,362,94458
1,363,96133
1,364,96413
1,369,95670
1,365,96308
1,371,91358
1,370,96413
1,366,95670
1,372,96234
1,368,95645
1,373,96234
1,367,93561
1,374,96038
1,377,96018
1,376,94478
1,379,96208
1,378,95408
1,380,93561
1,375,94497
1,381,96121
1,382,96400
1,383,96262
1,384,96400
1,385,93631
1,394,96385
1,387,96018
1,389,93537
1,390,96262
1,393,95982
1,386,95471
1,388,96262
1,395,95570
1,392,95645
1,391,94468
1,396,96385
1,398,96234
1,397,96327
1,399,95982
1,401,95595
1,400,95982
1,404,96411
1,403,96327
1,405,95982
1,402,96038
1,409,96018
1,407,96409
1,408,95670
1,406,94485
1,410,96078
1,412,96022
1,411,96234
1,413,93561
1,414,96119
1,415,95419
1,416,95570
1,417,94410
1,419,96327
1,418,96133
1,421,96198
1,420,95729
1,422,96413
1,424,96234
1,423,93561
1,425,96308
1,427,96262
1,426,96327
1,430,96327
1,428,94463
1,431,94468
1,432,94463
1,433,93618
1,429,96327
1,434,96385
1,439,95773
1,438,96262
1,436,95982
1,435,95982
1,437,93561
1,440,95400
1,442,96327
1,441,96262
1,443,96385
1,444,96400
1,446,96133
1,447,96262
1,445,95744
1,448,96385
1,450,95500
1,453,95599
1,449,95712
1,451,95982
1,452,96413
1,454,93561
1,455,95729
1,458,96054
1,461,94562
1,456,96409
1,457,96420
1,460,96413
1,459,96121
1,462,94458
1,463,95456
1,464,96385
1,467,95400
1,465,95729
1,466,94468
1,468,94562
1,469,96121
1,471,94041
1,470,96410
1,473,95419
1,472,94402
1,474,96385
1,475,95982
1,478,96234
1,477,95420
1,476,96332
1,479,96133
1,480,96234
1,483,96262
1,484,96234
1,482,95744
1,481,93220
1,485,96327
1,488,95420
1,486,95420
1,487,96400
1,489,96409
1,490,96409
1,491,95982
1,495,95729
1,494,95982
1,492,95729
1,493,96262
1,496,95982
1,497,95456
1,499,96385
1,498,96327
1,501,96208
1,502,96119
1,500,94366
1,503,95982
1,504,96262
1,505,93720
1,506,96327
1,509,96308
1,508,95982
1,507,96007
1,511,96121
1,510,94562
1,513,94410
1,512,96327
1,516,94458
1,514,95599
1,515,95982
1,517,96332
1,518,96234
1,520,95683
1,521,94497
1,519,93845
1,522,96413
1,524,96121
1,525,96385
1,527,93631
1,523,94402
1,526,95729
1,528,94497
1,529,96078
1,531,95419
1,530,96400
1,532,96022
1,533,95982
1,534,95570
1,535,95400
1,536,95408
1,537,96410
1,538,94497
1,541,95729
1,540,96409
1,539,96409
1,542,93561
1,545,95729
1,544,96018
1,546,96133
1,543,96440
1,547,96234
1,549,95419
1,548,95599
1,551,96119
1,550,96411
1,552,95599
1,553,93561
1,555,95599
1,556,96038
1,557,96133
1,554,96133
1,558,96400
1,560,95599
1,559,96413
1,561,95471
1,563,96262
1,564,96390
1,569,96409
1,562,96262
1,568,93631
1,566,96208
1,565,95611
1,573,93618
1,571,96007
1,572,96385
1,570,96385
1,575,96038
1,567,95456
1,574,95595
1,577,96022
1,578,96385
1,581,96262
1,576,95712
1,582,95599
1,583,95400
1,580,96385
1,584,93618
1,579,93561
1,586,95744
1,585,96234
1,588,94562
1,587,96385
1,589,96409
1,590,95729
1,591,95645
1,592,95400
1,593,96409
1,595,96054
1,594,96385
1,597,96208
1,596,96409
1,598,96411
1,601,96133
1,602,95599
1,599,94041
1,600,96121
1,603,96119
1,605,96133
1,604,93618
1,606,95599
1,607,96385
1,608,96262
1,610,96308
1,611,93561
1,612,96385
1,609,96092
1,614,93521
1,613,96413
1,615,96234
1,616,95982
1,618,96440
1,617,95471
1,619,93561
1,620,95595
1,621,96234
1,622,94458
1,624,95419
1,626,96234
1,623,95645
1,625,96038
1,627,96262
1,628,94485
1,631,95645
1,630,96400
1,629,95456
1,633,96409
1,632,95420
1,634,95729
1,635,96409
1,637,95420
1,639,96133
1,638,96409
1,640,96133
1,636,96262
1,642,96262
1,644,96078
1,643,95712
1,645,96234
1,641,96038
1,646,96385
1,649,96327
1,647,96018
1,648,96234
1,651,95729
1,650,93537
1,652,96208
1,653,93720
1,654,96308
1,655,95729
1,656,96234
1,657,96234
1,661,96262
1,658,95982
1,664,95400
1,659,95982
1,660,95982
1,663,96308
1,667,95712
1,662,96409
1,665,96121
1,668,93618
1,666,94410
1,670,96234
1,669,93521
1,671,95729
1,673,94463
1,672,96038
1,674,95729
1,675,93720
1,676,96234
1,680,96133
1,679,96411
1,677,93521
1,681,96133
1,678,95595
1,683,96007
1,682,93561
1,684,94497
1,685,96038
1,686,96043
1,688,96262
1,690,95982
1,687,93561
1,689,96133
1,691,96385
1,692,95596
1,693,96038
1,695,96119
1,694,96038
1,696,96400
1,697,96385
1,699,93947
1,698,96327
1,701,94465
1,700,94497
1,703,96385
1,702,96121
1,704,96078
1,705,96327
1,706,95982
1,708,96409
1,707,96208
1,710,96078
1,709,96308
1,711,96385
1,712,96262
1,715,96311
1,713,95982
1,714,93720
1,717,96133
1,716,96007
1,718,93720
1,721,96308
1,719,96234
1,722,96119
1,720,96262
1,723,93618
1,725,95599
1,724,95683
1,726,96410
1,728,93720
1,727,96208
1,729,96133
1,730,96078
1,731,96121
1,732,95982
1,734,96121
1,733,95599
1,736,93720
1,738,95595
1,735,94569
1,737,96234
1,739,96262
1,740,93618
1,741,96327
1,744,93561
1,742,96409
1,743,96332
1,746,95595
1,745,93845
1,747,96007
1,749,96133
1,748,96327
1,750,95456
1,751,96409
1,753,96308
1,752,95645
1,754,96385
1,757,96054
1,756,96234
1,755,95645
1,758,96234
1,759,95326
1,761,96413
1,760,96208
1,762,96385
1,763,96022
1,766,93631
1,764,96327
1,765,93561
1,769,95400
1,767,95599
1,768,96092
1,772,95420
1,770,94459
1,771,95599
1,773,95599
1,774,93618
1,778,93521
1,777,96078
1,775,95670
1,776,96400
1,779,93521
1,783,96409
