user_id,nro_cliente,install_time,platform,country_region,city,gender
10045a3c,1,2018-07-03 0:02:10,Android,Santa Fe,Avellaneda,male
1004d93d,3,2018-07-06 23:09:52,Android,Buenos Aires,San Isidro,female
1006ac06,2,2018-07-05 23:03:47,Android,Cordoba,Córdoba,male
100bc465,5,2018-07-07 17:02:46,Android,Formosa,Formosa,female
100bcd07,4,2018-06-30 3:21:43,Android,Buenos Aires,Lanus,male
100d10b7,6,2018-06-30 23:38:43,Android,Buenos Aires F.D.,Buenos Aires,male
100d5262,8,2018-06-30 18:49:11,Android,Buenos Aires F.D.,Buenos Aires,female
1017fbc3,7,2018-07-02 17:56:12,Android,Buenos Aires,La Plata,male
101c683c,9,2018-07-07 3:36:05,Android,Buenos Aires,Marcos Paz,female
101cc38a,10,2018-07-01 3:44:19,Android,Buenos Aires F.D.,Buenos Aires,female
101da475,11,2018-07-04 2:04:04,Android,Mendoza,San Rafael,female
10283699,12,2018-07-05 19:52:52,Android,Mendoza,Godoy Cruz,female
102d17c,13,2018-07-07 22:48:08,Android,Buenos Aires,Manuel J. Cobo,male
103337fa,14,2018-07-03 13:21:34,Android,Buenos Aires,Mar del Plata,male
10348a77,15,2018-07-04 2:07:17,Android,San Luis,Villa Mercedes,female
103a6716,16,2018-06-30 19:59:24,Android,Buenos Aires F.D.,Buenos Aires,male
103cff6e,18,2018-07-04 22:30:57,Android,Buenos Aires F.D.,Buenos Aires,male
1040660,17,2018-07-04 19:22:00,Android,Buenos Aires F.D.,Buenos Aires,female
10420632,20,2018-07-07 16:23:02,Android,Buenos Aires,Pilar,female
104242b0,19,2018-07-04 21:29:33,Android,Buenos Aires,Jose Leon Suarez,male
1042a33a,21,2018-07-06 17:01:54,Android,Santiago del Estero,Santiago del Estero,male
104706ba,22,2018-06-30 3:03:21,Android,Buenos Aires,Mariano Moreno,female
104faf7b,25,2018-07-01 18:14:19,Android,Buenos Aires,Belen de Escobar,female
1052139e,23,2018-07-03 2:14:31,Android,Buenos Aires,Pinamar,female
10537c4c,24,2018-07-03 20:21:44,Android,Buenos Aires,Libertad,male
105aac92,26,2018-07-04 17:42:00,Android,Misiones,Posadas,female
105e328c,27,2018-07-05 0:35:38,Android,Santa Cruz,Río Turbio,male
1063841,30,2018-07-02 14:23:48,Android,Buenos Aires,Tres Arroyos,female
1063c3aa,31,2018-07-02 1:14:18,Android,Buenos Aires F.D.,Buenos Aires,male
106414d3,29,2018-07-03 14:19:31,Android,Salta,Salta,female
1064e0f2,32,2018-07-05 22:44:44,Android,Misiones,Posadas,female
1087000d,28,2018-06-30 3:15:17,Android,Buenos Aires,Glew,female
10924a7e,36,2018-07-04 5:56:51,Android,Santa Fe,Venado Tuerto,male
1092ad2e,34,2018-06-30 11:10:10,Android,Misiones,San Pedro,female
1094b11f,33,2018-07-01 0:18:49,Android,Cordoba,Córdoba,male
1094d5ae,35,2018-07-07 22:48:25,Android,Buenos Aires F.D.,Buenos Aires,male
109531fd,38,2018-07-06 17:33:28,Android,Buenos Aires,Laferrere,male
10953c75,37,2018-07-03 20:13:11,Android,Salta,Salta,female
1099c34f,39,2018-07-06 19:56:12,Android,Buenos Aires,San Carlos de Bolivar,female
109a7ebe,40,2018-07-04 17:25:31,Android,Santa Fe,Santa Fe,male
109baa78,41,2018-07-06 20:15:08,Android,Formosa,Formosa,male
109d36ec,43,2018-07-03 0:43:39,Android,Buenos Aires,Lomas del Mirador,male
109f7106,42,2018-07-04 17:57:49,iOS,Buenos Aires,Mar del Plata,female
10a0d832,44,2018-07-01 19:02:09,Android,Buenos Aires,Ciudadela,male
10a7255a,45,2018-06-30 8:12:16,Android,Chubut,Boca de la Zanja,female
10a86bdc,46,2018-07-05 6:30:40,Android,Buenos Aires F.D.,Buenos Aires,female
10aa854f,47,2018-07-03 13:56:06,Android,Misiones,Posadas,male
10b5ac68,49,2018-07-04 23:38:44,Android,Jujuy,Perico,female
10b89375,50,2018-07-02 3:16:02,Android,Buenos Aires F.D.,Villa Lugano,female
10bb0cd4,52,2018-07-04 21:28:44,Android,Buenos Aires F.D.,Buenos Aires,male
10be00a2,51,2018-07-06 15:54:40,Android,Cordoba,Córdoba,female
10c07dab,48,2018-07-04 9:49:47,Android,Entre Rios,Villa Angelica,female
10c3277c,53,2018-07-03 17:34:56,Android,Santiago del Estero,Santiago del Estero,female
10c5edc6,54,2018-06-30 0:44:42,Android,Buenos Aires,San Carlos de Bolivar,male
10c9c41d,55,2018-07-05 22:16:38,Android,Buenos Aires F.D.,Buenos Aires,male
10cd3f0,56,2018-07-06 22:37:38,Android,Buenos Aires,Lomas del Mirador,male
10cf69c0,58,2018-07-04 13:48:54,Android,Cordoba,Villa General Belgrano,female
10d0d8a4,57,2018-07-03 3:32:10,Android,Salta,Salta,male
10d3ac8f,59,2018-07-07 1:08:58,Android,Santa Fe,San Cristobal,female
10d4ddcf,61,2018-07-03 15:02:02,Android,Corrientes,Corrientes,female
10d5ae2f,62,2018-07-02 0:57:16,Android,Buenos Aires F.D.,Buenos Aires,female
10d629b5,60,2018-06-30 20:46:30,Android,Tucuman,San Miguel de Tucumán,female
10d84779,63,2018-07-02 0:36:25,Android,Formosa,Formosa,female
