nro_cliente,sum_fact,sum_duracion
1,645.0071995,330.7751896
3,520.5145507,565.7633479
2,1330.1677,30
5,555.1710587,99.92904944
4,1534.16631,371.4331545
6,2183.393221,643.3928161
8,1010.416383,415.9089355
7,205.7214332,81.42615438
9,232.2616476,652.1137954
10,277.0154269,189.5543928
11,4.685402568,514.0078325
12,511.4733701,400.3873287
13,961.2289012,323.641978
14,1588.030015,603.4250852
15,2.136291489,215.4553981
16,2614.8836,542
18,53.96002284,488.0500716
17,33.85706182,567.0589283
20,3943.3466,3318
19,863.7607576,236.9627269
21,451.5228,101
22,370.6902685,139.7092091
25,994.1055741,657.3838724
23,1029.992981,9.582166674
24,1068.115625,632.1022502
26,565.4751978,207.7712935
27,443.3903606,475.2136721
30,279.8340771,453.8087289
31,818.3416868,429.9006319
29,1039.071313,209.1628968
32,680.0121643,514.4141436
28,1099.524372,42.38914554
36,920.739588,526.4668486
34,188.0275953,167.7337864
33,673.1961253,301.6188139
35,1481.573493,578.5497057
38,191.6952775,215.7167173
37,339.0303,30
39,959.6528223,625.4567712
40,1239.3882,632
41,541.8375,285
43,1239.3962,270
42,1016.38474,119
44,182.3871192,45.20253742
45,481.6762739,361.5454379
46,822.1708801,484.6801917
47,635.6895,151
49,183.1080559,668.5457621
50,52.29257142,659.0459942
52,218.4703515,180.5344354
51,1855.737534,597.4076505
48,712.1258289,42.86118806
53,168.8217493,638.2622666
54,387.3774041,432.2873472
55,175.9280039,432.8214608
56,842.8562,193
58,311.8752925,538.5710901
57,1217.872475,645.3390346
59,189.3669774,637.1935149
61,537.8389766,650.8792262
62,852.8360527,628.3059105
60,742.7662541,131.2880755
63,248.3236473,518.5360789
64,97.60887567,252.5470778
65,541.4277508,317.6584977
66,1442.339683,128.886964
69,627.03966,30
67,957.3409479,533.1976972
68,885.1976376,137.8020577
70,1103.875748,127.9604135
71,1367.959279,242.8992918
73,216.2288523,451.2073621
75,460.8459535,432.4062116
72,1024.654589,55.21247725
74,2261.5416,970
77,923.5515456,579.2956446
76,1167.094232,252.4385568
78,782.1876165,3.503021478
79,802.2247963,543.7442615
81,1050.325842,494.49098
82,1286.897959,4.628524611
83,441.9588758,568.7812443
84,141.4879935,332.5379071
80,348.7319106,396.9216645
85,768.0783743,0.7878792487
86,567.8816629,408.2470876
87,852.1332,654
91,97.1811788,340.8094562
88,1362.704244,122.5137153
90,537.7464254,44.27235504
